4.34E+18;8.11E+13;4.34E+02;8.11E-02
4.36E+18;7.62E+13;4.36E+02;7.62E-02
4.38E+18;3.43E+13;4.38E+02;3.43E-02
4.39E+18;4.04E+13;4.39E+02;4.04E-02
4.41E+18;8.77E+13;4.41E+02;8.77E-02
4.42E+18;9.99E+13;4.42E+02;9.99E-02
4.44E+18;7.21E+13;4.44E+02;7.21E-02
4.45E+18;2.67E+13;4.45E+02;2.67E-02
4.47E+18;3.38E+13;4.47E+02;3.38E-02
4.48E+18;4.76E+13;4.48E+02;4.76E-02
4.50E+18;3.26E+13;4.50E+02;3.26E-02
4.52E+18;3.10E+13;4.52E+02;3.10E-02
4.53E+18;5.92E+13;4.53E+02;5.92E-02
4.55E+18;6.65E+13;4.55E+02;6.65E-02
4.56E+18;4.25E+13;4.56E+02;4.25E-02
4.58E+18;1.58E+13;4.58E+02;1.58E-02
4.59E+18;5.26E+13;4.59E+02;5.26E-02
4.61E+18;7.44E+13;4.61E+02;7.44E-02
4.63E+18;6.74E+13;4.63E+02;6.74E-02
4.64E+18;4.23E+13;4.64E+02;4.23E-02
4.66E+18;3.33E+13;4.66E+02;3.33E-02
4.67E+18;4.68E+13;4.67E+02;4.68E-02
4.69E+18;4.95E+13;4.69E+02;4.95E-02
4.70E+18;4.22E+13;4.70E+02;4.22E-02
4.72E+18;4.73E+13;4.72E+02;4.73E-02
4.73E+18;6.75E+13;4.73E+02;6.75E-02
4.75E+18;8.43E+13;4.75E+02;8.43E-02
4.77E+18;8.89E+13;4.77E+02;8.89E-02
4.78E+18;8.15E+13;4.78E+02;8.15E-02
4.80E+18;6.91E+13;4.80E+02;6.91E-02
4.81E+18;6.05E+13;4.81E+02;6.05E-02
4.83E+18;5.58E+13;4.83E+02;5.58E-02
4.84E+18;5.05E+13;4.84E+02;5.05E-02
4.86E+18;5.04E+13;4.86E+02;5.04E-02
4.88E+18;5.86E+13;4.88E+02;5.86E-02
4.89E+18;6.35E+13;4.89E+02;6.35E-02
4.91E+18;6.32E+13;4.91E+02;6.32E-02
4.92E+18;7.19E+13;4.92E+02;7.19E-02
4.94E+18;8.38E+13;4.94E+02;8.38E-02
4.95E+18;7.27E+13;4.95E+02;7.27E-02
4.97E+18;3.62E+13;4.97E+02;3.62E-02
4.98E+18;7.77E+13;4.98E+02;7.77E-02
5.00E+18;1.49E+14;5.00E+02;1.49E-01
5.02E+18;1.70E+14;5.02E+02;1.70E-01
5.03E+18;1.05E+14;5.03E+02;1.05E-01
5.05E+18;7.37E+13;5.05E+02;7.37E-02
5.06E+18;2.97E+14;5.06E+02;2.97E-01
5.08E+18;5.33E+14;5.08E+02;5.33E-01
5.09E+18;7.05E+14;5.09E+02;7.05E-01
5.11E+18;7.58E+14;5.11E+02;7.58E-01
5.13E+18;6.75E+14;5.13E+02;6.75E-01
5.14E+18;4.82E+14;5.14E+02;4.82E-01
5.16E+18;2.39E+14;5.16E+02;2.39E-01
5.17E+18;3.05E+13;5.17E+02;3.05E-02
5.19E+18;1.32E+14;5.19E+02;1.32E-01
5.20E+18;1.71E+14;5.20E+02;1.71E-01
5.22E+18;1.19E+14;5.22E+02;1.19E-01
